,QSO,z,DEC,RA,Date,File Paths
474,J101725+611627,2.800565,+61:16:36.3,10:17:24.52,2008-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J101725+611627/Wolfe_20080305/J101725+611627_cont.fits
493,J004323-001552,2.796263,-00:15:54.2,00:43:23.52,2005-01-06,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J004323-001552/Becker_20050106/J004323-001552_cont.fits
503,J153648+432154,2.781145,+43:21:54.0,15:36:49.09,2008-05-09,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J153648+432154/Sargent_20080508/J153648+432154_cont.fits
510,J010311+131617,2.681,+13:00:10.0,01:00:33.40,2000-08-04,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J010311+131617/Tytler_20000802/J010311+131617_cont.fits
511,J124138+461717,2.771687,+46:17:23.8,12:41:37.56,2008-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J124138+461717/Wolfe_20080305/J124138+461717_cont.fits
535,J100517+615417,2.7405,+61:52:02.5,10:05:06.09,2008-02-28,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J100517+615417/Tytler_20080228/J100517+615417_cont.fits
546,J105257+160348,2.989658,+16:04:11.3,10:52:47.09,2008-02-28,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J105257+160348/Tytler_20080228/J105257+160348_cont.fits
548,J215117-070753,2.534624,-07:08:07.8,21:51:16.78,2004-09-11,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J215117-070753/Wolfe_20040911/J215117-070753_cont.fits
561,J214129+111958,2.504978,+11:20:17.7,21:41:30.11,2004-09-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J214129+111958/Prochaska_20040910/J214129+111958_cont.fits
567,J215728+001545,2.556606,+00:15:40.7,21:57:28.18,2006-11-18,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J215728+001545/Martin_20061118/J215728+001545_cont.fits
570,J135803+034936,2.891795,+03:49:35.3,13:58:03.88,2008-05-08,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J135803+034936/Sargent_20080508/J135803+034936_cont.fits
575,J141334+421201,2.807396,+42:11:59.2,14:13:34.55,2001-03-19,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J141334+421201/Becker_20010319/J141334+421201_cont.fits
578,J144752+582420,2.976056,+58:24:03.5,14:47:51.23,2004-02-18,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J144752+582420/Wolfe_20040218/J144752+582420_cont.fits
580,J232115+142131,2.53767,+14:21:31.2,23:21:15.34,2006-12-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J232115+142131/Wolfe_20061225/J232115+142131_cont.fits
582,J101948+354146,2.683701,+35:56:56.1,10:16:53.79,2000-03-10,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J101948+354146/Tytler_20000310/J101948+354146_cont.fits
603,J084908+152931,2.928,+15:40:42.2,08:46:20.60,2000-01-12,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J084908+152931/Tytler_20000112/J084908+152931_cont.fits
608,J082857+205243,2.640855,+20:52:43.5,08:28:57.37,2008-05-09,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J082857+205243/Sargent_20080508/J082857+205243_cont.fits
612,J205922-052842,2.537627,-05:28:36.3,20:59:21.38,2004-09-11,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J205922-052842/Wolfe_20040911/J205922-052842_cont.fits
634,J095543-012351,2.844,-01:23:53.9,09:55:44.01,2014-02-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J095543-012351/Prochaska_20140205/J095543-012351_cont.fits
636,J220639-181845,2.728,-18:33:25.2,22:03:55.17,2000-08-04,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J220639-181845/Tytler_20000802/J220639-181845_cont.fits
655,J162548+264658,2.531497,+26:45:35.1,16:25:58.59,2010-03-21,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J162548+264658/Wolfe_20100320/J162548+264658_cont.fits
656,J124610+303131,2.56,+30:47:52.3,12:43:44.67,2000-01-12,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J124610+303131/Tytler_20000112/J124610+303131_cont.fits
663,J031609+004043,2.920727,+00:40:59.1,03:16:10.02,2003-12-20,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J031609+004043/Prochaska_20031220/J031609+004043_cont.fits
666,J095537+333503,2.507978,+33:35:03.7,09:55:37.94,2000-12-30,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J095537+333503/Becker_20001229/J095537+333503_cont.fits
692,J082107+310751,2.613373,+31:07:35.4,08:21:07.57,2001-01-22,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J082107+310751/Wolfe_20010122/J082107+310751_cont.fits
705,J063505+824554,2.6409,+82:45:54.7,06:35:05.49,2013-03-09,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J063505+824554/Ge_20130308/J063505+824554_cont.fits
709,J101559+195256,2.552953,+19:52:46.9,10:15:48.60,2008-02-28,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J101559+195256/Tytler_20080228/J101559+195256_cont.fits
722,J155702+231927,2.804,+23:19:27.0,15:57:02.49,2012-04-25,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J155702+231927/Martin_20120425/J155702+231927_cont.fits
723,J115526+351052,2.833615,+35:10:53.2,11:55:26.50,2008-03-05,/global/homes/m/myers617/KODIAQ_DR3/KODIAQ_DR3/J115526+351052/Wolfe_20080305/J115526+351052_cont.fits
